"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
511514.596959004,506603.797019141,566362.416474717,481207.899384938,520513.205916928,463220.924875347,511657.689784197,499612.863564026,497881.306813012,523835.352698765
660972.318152225,698305.863354862,714205.502802848,672239.770099997,739075.593427359,601127.054886671,686252.497299469,685909.694583788,677860.145388204,711463.3062073
860485.119557143,834954.212391027,814758.380727459,858036.2530292,856325.321825025,787489.410832911,832792.157003106,853677.368145266,815259.465399377,833522.657101027
982112.406403162,956184.154422926,923584.04723747,1012929.25098263,991755.408210051,889627.502777744,971213.175291879,1002449.92394138,955158.914552584,1011546.86371228
1079627.66115368,1078334.51248421,1049087.27822065,1158872.53606535,1086249.59330183,1045038.35476635,1096511.19738519,1149416.91160555,1082293.8615033,1122167.15946256
1222263.01630642,1200298.75765164,1184747.48756731,1342189.4384517,1165193.60604473,1149359.27679293,1181956.14978178,1290465.10977864,1214964.59485691,1208944.2562881
1312276.21806971,1297602.38562446,1250995.95313017,1402454.00309206,1258620.99103828,1249241.40184327,1262829.42786926,1370557.39673235,1306363.8819018,1274533.71551096
1399266.93211631,1398746.47320863,1339780.12858847,1472180.39521516,1378604.01527012,1334483.52946986,1363238.64937397,1463307.75894514,1411657.36721843,1367768.05360742
1458661.42857869,1457177.2117393,1425298.96000648,1569071.51351443,1459468.3856969,1411669.93371176,1455806.66335666,1559323.7274272,1499873.21296983,1456079.47361085
1538495.88396277,1535533.41092681,1508718.84026007,1646008.20640083,1525549.97647362,1446586.16591463,1523220.49111915,1606837.05194429,1605527.91270155,1504510.97990636
1619014.26326815,1629370.30974566,1546277.38800192,1689195.35889654,1600333.38802426,1519058.04648619,1633008.2822411,1641567.13548642,1689760.72189828,1593915.36408992
1721197.91216635,1710343.93973544,1625903.12114876,1713885.70352366,1678816.65215294,1574683.65340852,1692197.65086476,1699182.126621,1743912.15609654,1630733.95720193
1800864.70477725,1757285.20601283,1678998.03618085,1766606.13371642,1726528.54948656,1626982.09343598,1771080.85553935,1776140.7298064,1791506.4594237,1689708.08290224
1821768.81587222,1786129.67616384,1776418.09361267,1802015.43737506,1770281.04721705,1673903.18870188,1816821.23169149,1797711.66194126,1881176.44591811,1731950.91978758
1847888.46857183,1835206.76070367,1801360.92661747,1828174.27544149,1788082.45639927,1701415.02717159,1857448.78676853,1832821.40363605,1890061.11720531,1787654.81009781
1858119.20289533,1860647.4732051,1850367.60125109,1836076.11231152,1813850.97183569,1740729.77567935,1897132.84114634,1851426.05725239,1917721.79509618,1829714.31183282
1904372.92944155,1890986.5221625,1929029.53018615,1943715.35643992,1840394.05680082,1809439.34192698,1913387.9026746,1879846.40440515,1947367.58179777,1832578.76318298
1914760.27701979,1911596.43331876,1955050.12339707,1952199.85676886,1876652.25228258,1856121.73486412,1946961.68751049,1892352.31728114,1966976.01003248,1841889.99476561
1979471.77118013,1939386.14242173,1982226.09465356,1970878.06716909,1937523.15739977,1917787.39358915,1986880.99822901,1908372.70581991,1976498.07001098,1871468.43513811
1996681.17101152,1957053.44885793,2002995.18573522,2008294.5120204,1954543.94628069,1929852.23087868,2033174.01886141,1967816.19874145,1991880.78556815,1874557.40487973
2003885.2320835,1981315.44958408,2019682.02702452,2021326.42579348,1988395.95430247,1942253.72005626,2052338.19779193,1975376.59313415,1991082.38782579,1879638.04945781
2025214.85075115,2000581.50264737,2082128.14954368,2037667.81200396,2004812.28720817,1956876.70464518,2082505.53294031,1985253.97873847,2000877.99882129,1950522.26789856
2043093.37748902,2020165.61119183,2124088.81597348,2041252.88147736,2086849.06099273,2011930.82427305,2132452.80361609,2016736.18139499,2028426.19271417,1954239.89473286
2050302.87740892,2043942.28038624,2143466.76479539,2048788.62108657,2092880.1758901,2022583.9061533,2134899.25201059,2041760.79789387,2037070.84994935,1948505.25870851
2083549.32042691,2081898.17071262,2164999.92198832,2066153.00746034,2102668.79758547,2062519.60257428,2135769.59780458,2045031.58105616,2046744.3147246,1980396.21896225
2091592.24758028,2092602.3957669,2188035.18808774,2098499.97770676,2104680.10189281,2065588.00128466,2158098.78686641,2056225.62168901,2098013.23891121,1995042.38244685
2097461.82717026,2134271.09507399,2201292.30816231,2098737.63511372,2120841.66641678,2071728.3361401,2166955.31981545,2121999.0583728,2106613.29647366,2031309.94852223
2097028.33083059,2145803.30823955,2205349.23919165,2112843.22794772,2127249.98239859,2078997.06207467,2183914.29771857,2126126.75070418,2113396.14982424,2035705.39214053
2107651.62811105,2153884.4830159,2216613.74141148,2115690.63851581,2133968.21758041,2082920.12814264,2208241.243084,2132210.36906862,2130892.21976959,2071946.83943606
2133642.75418521,2161762.04976279,2217397.57935922,2125535.80446718,2139205.5854953,2115999.36445312,2213292.0574378,2147916.74781124,2135414.37084588,2104047.9100935
2147604.49255619,2176034.4297411,2227537.72047891,2126555.98399617,2144831.76576597,2122227.04052092,2218113.32946162,2181130.71322654,2138474.17444015,2123105.61770472
2162094.50616359,2187699.66976479,2236647.11417524,2137621.68985445,2147439.03054476,2138706.09105694,2230930.24761341,2181181.55432888,2140249.2831111,2122528.48307905
2168728.93388518,2202041.27986964,2234726.46483004,2142955.24699801,2181238.05694318,2168085.58888057,2231489.75669564,2199812.97653485,2144678.99531924,2130619.09653891
2166050.01467776,2199507.33923413,2237776.41477617,2148329.06710003,2195197.10205417,2183475.34693448,2231756.01645873,2206448.95457407,2174183.08131258,2127938.7968089
2181701.35450387,2214578.3879204,2239471.09932735,2148889.30968633,2195588.1960677,2193214.68027663,2234228.55068661,2207401.42529886,2176110.30949359,2127690.37270765
2189029.32439998,2229782.40695663,2239813.83455464,2161387.08720416,2201245.98057432,2190978.0676235,2241763.65766061,2248664.69824796,2183783.09461579,2129811.87870974
2202225.60592217,2233414.73878124,2246595.84770583,2163435.88822818,2216026.10622293,2193668.41252553,2247904.52098932,2249630.37394494,2189483.90609214,2144176.181545
2204016.94759724,2239882.46365501,2247855.99900502,2167864.83595373,2212368.93842877,2215294.84814041,2285300.1615191,2252070.45547896,2193579.21016322,2186829.51882456
2209760.46539445,2252747.67263321,2266306.32667123,2165157.41087057,2214710.55486359,2222032.73672106,2311456.9083074,2252739.22652839,2197617.63704858,2192161.04286317
2219302.1715816,2255523.74843193,2272218.57335124,2167841.50488169,2227427.16388812,2231118.27212669,2312239.58980549,2258772.83604101,2210869.18205526,2193009.10952712
2273391.85233094,2258321.03688107,2288669.44662589,2168348.23315247,2227184.94877345,2234088.16129934,2315850.342734,2267291.39929404,2218776.16055235,2193640.27536957
2287630.8134638,2278910.55100684,2292460.91578555,2182350.20588036,2226377.88726617,2248352.4537314,2333213.82750368,2277545.30803535,2234932.39648593,2197358.26699349
2283504.5104176,2278433.0188767,2291881.55600618,2182761.47460703,2228108.49645272,2273648.99210688,2333992.20326558,2279223.36802104,2231385.89739928,2191611.38038108
2287036.89823277,2279993.7216089,2302187.38577428,2182144.93668069,2229033.1478274,2278509.62106144,2337461.95098286,2287593.42822349,2239174.17357937,2201406.82375339
2285803.55062919,2283193.52312053,2304892.12438095,2191699.03933936,2237500.92852358,2298262.269848,2339084.42626616,2292619.30034233,2241028.3327236,2210778.67519968
2292572.00788606,2283556.72611236,2307557.84556936,2193593.9105417,2244908.16351731,2302138.0719702,2340227.62942162,2296413.55035852,2239195.41259914,2210838.27840772
2295475.15390755,2285457.4021502,2308107.48827116,2198201.64466719,2269711.29236823,2305843.010879,2341299.45859477,2295438.59559651,2244382.97843926,2210433.19651053
2299903.09235896,2291557.63689827,2309120.69168312,2198396.83905878,2273092.74823203,2307839.31711116,2341036.91372918,2299041.95592631,2244480.15313755,2225859.27799992
2317945.59432746,2329562.99457265,2313828.14898056,2200692.16838486,2278909.35572132,2314967.90187632,2344741.52639258,2313613.48833825,2247168.39376923,2228077.03152143
2329893.00188094,2330838.16944374,2323317.25767397,2204262.26314274,2279079.21662392,2322349.65795685,2345757.34041659,2314140.29357772,2249175.12664106,2231955.38338655
