"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
552412.472069013,594578.487174392,665397.597653406,598637.788902096,555827.516368725,620798.414456764,552100.812791864,530199.283716724,585864.649388153,563914.374328698
727101.201502516,780534.548129383,838406.091078117,794159.143439619,735087.13292569,831047.216892853,750672.73256051,695856.663205698,733133.140600126,820689.978476636
963564.409528679,951026.601315515,936166.956143554,938804.265115593,901151.234476595,974669.946783693,875998.795703388,863324.096146067,920658.342800602,955496.154399026
1084709.54581758,1120071.58279127,1036580.79217234,1116551.98611169,1034512.22744222,1160025.70117936,1071089.83997474,1012345.20117607,1124314.00479522,1114453.79528725
1227331.88340655,1213474.03917993,1169061.54465588,1177369.06913206,1179898.65903383,1224144.84368792,1162067.58783082,1136689.90499304,1229884.96543952,1228443.71398381
1344842.08740239,1351011.0328972,1260870.82383134,1303549.46524102,1260954.59936369,1338526.51493597,1240520.29144406,1232993.29871142,1331321.53677903,1384382.07968984
1464835.62398344,1465368.11515093,1345130.55899819,1371557.96777773,1377040.77279678,1472851.84470191,1376260.45350138,1316018.43851557,1424148.07049047,1442233.54807059
1566808.95650953,1536096.85131234,1442621.49907324,1505784.09155503,1493560.7086008,1550237.30701078,1497911.36718895,1441491.66005106,1473827.14450039,1526069.22273631
1658525.82127841,1645314.38255149,1534976.5816192,1608543.88351981,1587541.03937513,1650706.34613267,1593364.7205117,1489112.70534756,1537608.76697372,1586043.77474291
1729545.65676775,1701941.84222696,1604722.75306629,1703269.70879629,1654683.99720441,1712407.04581653,1626337.51269713,1557573.74867509,1731042.18826939,1642354.4639854
1826810.87061939,1770255.60343633,1727158.97038286,1800594.9469762,1694165.41869141,1745887.56193885,1707082.63549702,1667056.73630883,1766556.87967394,1708404.98750401
1876063.56725224,1831352.27630738,1771366.62922717,1857088.80204645,1749719.87586249,1789111.60866852,1743505.86584388,1726108.13428614,1863381.76193077,1749547.90000397
1901407.886301,1893494.90457084,1812766.90644975,1883999.92987784,1801696.76493551,1857543.34063114,1808289.12152349,1782499.68234065,1926221.64499206,1793361.4612826
1913542.72995039,1905185.67495675,1911335.77946607,1904497.18540703,1882708.10297305,1927887.81743465,1837776.79799076,1833688.31351776,1914894.42249814,1852006.15807252
1942206.27958528,1943953.36889119,1941335.14131037,1934166.76382286,1895120.90594365,1952773.68942384,1868546.11662355,1867853.00686491,1961457.99010722,1890575.24083296
1947606.49200559,1949160.08934798,1996144.54356557,1969480.92389069,1919129.81116824,1992595.41685757,1922091.90194941,1904767.03972123,1991637.2874287,1956067.54579131
1966231.75083285,1972976.23565608,2018916.21523854,1988147.06446937,1935480.34579141,2004363.81582089,1938087.20807992,1950249.7026209,2005399.31461752,1984507.15745013
1989789.52440965,1993530.94060939,2027672.94257697,2009423.14516389,1979154.59036962,2024247.42401498,1969669.88325033,1984810.61434439,2021781.62707482,2077922.1136763
2003226.54824104,2036432.15984469,2039235.18505582,2036610.11731284,1990405.13238726,2061323.53139108,1986267.25267782,2020333.3503989,2039378.61466469,2128566.49756903
2053614.18426572,2070424.51049925,2102299.77380692,2044564.48763376,2023008.33378273,2079304.31270837,2001728.51102708,2036944.90121929,2054765.48743383,2168132.3423544
2099692.06727967,2085020.56537393,2096856.47646348,2054854.47890357,2042640.41368198,2087017.23840365,2046425.77517766,2038775.27495386,2059241.32357629,2216655.66762369
2138596.63587155,2103180.98198139,2107066.31441742,2093386.49293649,2077180.56375665,2090495.44793442,2090191.80794865,2075612.56778861,2074761.65221929,2230762.21248938
2140366.66728557,2111101.97387265,2122064.95896408,2134063.906944,2099310.3876466,2094769.65733417,2107185.94271567,2090837.68588278,2083881.01585861,2252501.11108969
2148827.53206156,2128982.64223648,2187279.07550595,2140104.66064832,2101889.36365415,2118029.916173,2110694.66322773,2103266.50423586,2118101.09067352,2256764.80195081
2153646.69985153,2159554.04953779,2191956.55550348,2148657.28747043,2127642.50290867,2140311.89842061,2130179.20521229,2112887.13958244,2140930.86882365,2257975.86319469
2157848.21244669,2168687.72777135,2227889.38687891,2157986.80879963,2127277.5198538,2146740.72375224,2142592.23881726,2125915.95212069,2189357.82480489,2259674.17327888
2213613.02966497,2188770.92212929,2250071.33321944,2164565.05792916,2124702.73123761,2158870.24538284,2149148.44799869,2151654.80917045,2191887.38408771,2259855.97206314
2228057.57462069,2193799.34700693,2254430.64099186,2177058.72500184,2130180.19446743,2171450.43588005,2164934.39594629,2154751.94043706,2195033.30827596,2263549.13021586
2229554.45994828,2196955.60609221,2272073.04816006,2178083.27031623,2138991.77935444,2181393.60397242,2191623.04241725,2163755.99196456,2203032.36708046,2276401.36164165
2228451.17220085,2199184.58818775,2276059.57994615,2181426.29196529,2157405.29853416,2209641.81084856,2206656.32869862,2194263.5388226,2206593.2858025,2279966.69625558
2228725.31978785,2213500.71245933,2281038.93628381,2202157.44428895,2162410.20177108,2205981.26953259,2209010.670436,2208850.11285862,2216198.33340826,2292191.00283314
2240951.3329558,2218622.51772757,2293483.92424106,2225552.20200389,2166170.42147846,2210063.8274486,2214346.40867036,2277475.1500297,2210258.33645055,2292437.45415603
2240831.88764245,2219874.60376291,2292558.42972221,2216165.03071318,2167629.01111273,2224212.45370233,2215321.82278285,2281086.87602415,2220597.35370914,2292489.4400787
2248002.63572798,2225545.43993472,2296356.96764419,2220086.98103015,2171637.78746347,2248082.80646578,2216356.64989074,2286590.50057437,2219478.8533144,2292654.79628366
2266183.83332443,2228293.96829483,2311789.94037138,2247113.367608,2183375.31542617,2251484.15893965,2235535.05895748,2292653.95289179,2219973.25955082,2293552.2262945
2266698.30267518,2251179.69021535,2311825.74877486,2248298.57231349,2186845.41053385,2254853.55788123,2237028.56099394,2296072.35448707,2226080.35834941,2294839.85511271
2269585.35628503,2254317.74359333,2317902.37018367,2250251.06118438,2191798.41844461,2254499.67487665,2237598.58234828,2296004.4716982,2230647.10572291,2294076.57106892
2273374.30679851,2270285.81675342,2319178.47305998,2252771.60901125,2196284.35699924,2255978.912029,2242047.04676117,2296013.7406301,2243791.46626382,2295481.76409312
2273320.37917414,2265546.30444649,2319448.45438419,2255279.25606139,2201946.04779809,2258966.55687803,2254658.92736684,2287452.9798044,2246624.72837564,2302667.75780021
2277293.59325158,2280044.48452807,2320619.09723498,2270703.32519495,2205186.83585179,2261740.69567957,2254461.25688867,2287923.30953835,2259328.08839409,2303726.3491189
2277802.89869378,2280470.00660011,2357050.95394861,2273363.75828607,2209816.04495622,2271618.32066273,2259502.42668369,2294154.38256434,2266294.32405493,2303562.27436483
2278448.14931008,2287312.42277151,2357598.43381549,2288750.31713744,2210181.71280687,2275411.86632863,2260318.6970702,2304481.02339601,2289141.02991859,2326722.22331219
2279155.23841712,2292643.94694441,2342671.41991768,2289988.99376025,2214930.08316626,2278177.41591334,2260135.6844123,2304824.95295283,2292217.3709189,2339997.58952152
2280455.80874794,2299772.01506579,2334496.92054475,2291525.40616565,2218695.6371421,2285948.37678352,2261290.31745394,2309255.84496922,2295929.16649484,2337578.41073193
2286654.43066194,2312638.1951852,2343905.68356225,2292231.54899555,2218828.42561594,2289438.77964398,2265507.87126353,2310751.36897308,2297351.74447053,2338366.66813771
2287461.18800994,2312935.15529456,2373780.88874258,2296501.76262368,2231197.0968902,2311267.54486149,2285291.18638742,2313042.29834356,2301894.94970703,2342460.04559735
2298136.53497549,2311960.59759677,2373803.42044258,2298154.19350447,2232722.07979338,2311780.02537546,2289785.36301218,2321163.67622715,2301631.74475547,2340881.85825864
2291361.61867037,2314042.16795568,2376586.98592932,2298297.69714471,2244236.19902659,2312544.72613409,2290025.12480494,2320288.25945541,2303906.94045652,2342626.94514279
2301794.07382517,2322653.75349725,2371176.59039579,2301982.36407651,2249539.21135533,2329520.88426979,2290012.03889254,2321864.11217891,2309220.7860705,2342634.16900624
2305904.52816661,2322634.10719018,2376465.12411427,2306345.12114543,2252070.17835501,2334797.74081694,2290004.02173881,2322945.82193224,2311532.85142574,2344745.12689538
2305751.30107324,2324652.96672172,2391111.32383924,2307573.45989907,2256934.20517698,2337037.9096362,2289907.55214436,2344996.8502103,2312626.07597724,2355873.9517044
2308445.65927789,2330438.7503027,2383895.87380242,2321616.87094684,2265313.70813047,2339156.58234931,2290294.2474981,2346090.70000865,2312996.30690541,2357413.61862222
2308320.82294067,2334635.55791464,2386077.93256387,2322488.11724549,2262207.36817929,2342912.82509724,2291963.43394384,2348309.4771457,2315493.60322131,2357739.12390611
2315587.54696513,2340149.26545075,2396030.51511872,2323462.0456023,2274021.52301126,2345138.10297763,2293329.38100038,2351658.90456679,2316349.57941998,2358960.82257307
2315798.65149673,2342210.57415778,2396898.33684854,2324970.38838969,2275999.78339209,2348561.92738189,2293340.80366394,2357849.17106875,2316354.31610265,2359540.68547064
2327077.71663058,2342332.62233097,2397413.6469176,2337933.15885824,2275980.53916797,2348762.93601968,2293611.81671345,2357651.52932191,2317229.69469726,2360679.23818958
2326594.20393681,2345341.37795948,2397444.03962115,2342213.38181563,2275782.77447773,2349330.95704672,2293749.66293142,2359341.44590971,2318961.31009948,2362672.61101994
2331964.49549122,2345102.64864635,2403184.58292936,2361946.32715122,2282255.05036317,2350725.45991929,2294169.06458045,2359903.54693313,2330905.70462665,2396334.74976577
2332557.87277773,2351460.55837639,2402897.48001394,2359017.71346242,2288329.39699757,2357378.02634973,2294153.38165112,2360341.15533483,2331048.02014569,2396722.88873345
2343233.37085135,2355341.36264402,2403567.03323463,2379715.59553129,2288252.66523057,2357218.39951802,2294599.9477046,2360095.69266958,2333275.13584546,2395978.88704471
2343295.85979981,2355982.18906637,2418395.41872478,2385458.11094676,2300714.056377,2375041.80785529,2295996.83314524,2360536.39928144,2336390.96585815,2399008.88544978
2343914.36409816,2360853.31642231,2420537.35269601,2387036.39935399,2305070.88361914,2374835.06826012,2296374.25364891,2371280.1080197,2338776.95466677,2402427.68114247
2343922.29844567,2361739.2549206,2425639.94260225,2386751.28036236,2315654.59094931,2376240.49961388,2338458.49447961,2371289.60726601,2344384.98523836,2403051.41853869
2344660.1510232,2362220.49201545,2427337.72743481,2388039.84997614,2316923.36744555,2375199.10919476,2338751.9465035,2372719.42660849,2346890.32506945,2403217.14569669
2343993.43859937,2365783.54427094,2430882.28768039,2389305.52618589,2316946.74632288,2374931.53384067,2326096.96605749,2373094.88230107,2347256.35093369,2403347.65350526
2344395.44667058,2371901.29226066,2431367.96864415,2389862.77031623,2316938.09394211,2375475.05476995,2351246.95088913,2373114.89956124,2348633.10881542,2410312.67702391
2346461.2181665,2373787.30297953,2445342.34389359,2393265.79217232,2317557.36319814,2376621.33380271,2350633.56101063,2374380.80259831,2349105.66497815,2410475.96650931
2346506.72476793,2375239.14152954,2445482.18681835,2394877.02860006,2322181.61003869,2380120.10123923,2351864.74107095,2372556.80490481,2362645.30802649,2418919.77674253
2347674.52185914,2375586.86847867,2445655.96420362,2395487.95900628,2322603.96399335,2380126.40262278,2354131.26352105,2371809.29726069,2362576.72773892,2418956.77822056
2343100.67546708,2375410.90161393,2445711.45400245,2399006.86393828,2323010.36492495,2382725.37334905,2354459.28335022,2372075.63345697,2363198.42489129,2418918.19547657
