"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
610878.844022786,623102.220867854,652753.580701685,600766.686748629,620469.171009436,610353.178218842,613541.348637982,591445.222274258,684848.82801557,647692.924361748
876482.82164919,905004.517147784,841585.355586519,850108.910192454,895451.709250919,893537.08748836,814342.930900315,839849.793866022,904191.24116636,870918.835855369
1064660.1050968,1147042.19099512,1110635.88143193,1059450.98757381,1105054.29222506,1162214.68363133,1068310.30163512,1082618.14634776,1095021.83199637,1059516.74039192
1250285.71108965,1332385.00628278,1262505.38912802,1256999.02301239,1310828.52229037,1356635.31585633,1277569.52892306,1296381.53947623,1304065.20111094,1310601.25855529
1462462.72257498,1456416.17025564,1385657.81334016,1433524.71680947,1493733.80561598,1505239.24999239,1422481.5508614,1442937.90782712,1402465.30419656,1467316.66444379
1620983.1857901,1587628.30166746,1514454.25964081,1559948.19477692,1611071.03081928,1646924.35332708,1544281.06603456,1586404.34683424,1562210.21210763,1607840.54033257
1715375.41851111,1721009.17801504,1635454.06854443,1657575.17196603,1710693.24767144,1758923.51874408,1615364.68602297,1700161.16634404,1599870.15155302,1731111.47709068
1816697.63815286,1805266.04142641,1718424.29853748,1750931.28963027,1799944.11836682,1856268.70938056,1727659.52098839,1846406.64559091,1767344.02401992,1843380.97243698
1861415.25764355,1907574.14739861,1805724.64427656,1850190.75446145,1911761.46828032,1959325.42631921,1798237.42700728,1896855.05376124,1869716.92845483,1895144.88320534
1944171.17806786,1972606.91428734,1865974.98554552,1952801.87791366,1997734.16109374,2022236.5092843,1902120.1293619,1979613.47553189,1955588.67087683,1967536.34377082
2038766.52448444,2041165.53182678,1917809.64674163,2046218.98812216,2067726.2936941,2082332.30407057,1920496.33844528,2012087.07933054,2015156.26780883,2004364.34068686
2116916.65610041,2056464.32966562,1982280.42316893,2107047.37732901,2104878.76428563,2197546.97220666,1979859.06255738,2048462.78064905,2035223.71256929,2034254.26857637
2168663.94812286,2085869.97104877,2050844.11603182,2148224.66641653,2169925.5766822,2224924.89182372,2005055.2630628,2109616.38516384,2106608.10895305,2080865.8803606
2196651.68648158,2147254.32332758,2087553.82320218,2158392.19126343,2185836.47136145,2254242.39246471,2053174.19326172,2171666.76472592,2139121.90159428,2087283.37187595
2240401.66881797,2177931.07555425,2191329.43959447,2215340.27344657,2226678.39634963,2261593.09307931,2121331.37465794,2191303.56769702,2179640.30716768,2097340.92542812
2285420.04586879,2220243.8120104,2224208.04468805,2300095.12568754,2282307.80366067,2309686.51092168,2132597.75023975,2231113.29292392,2194384.8261796,2099674.89020703
2328527.25390443,2277478.90130873,2245198.32304921,2299716.1289207,2307381.95840527,2364135.30123986,2190474.4479733,2265317.74960623,2201800.36934725,2101678.65311505
2344804.46483164,2279906.94181593,2255681.9812466,2313249.68135749,2337414.87630574,2374355.96572078,2205587.07910109,2274666.07121651,2221061.41586274,2132614.88234853
2373342.50489141,2329699.52433593,2284840.41423696,2322838.44218692,2345005.5085401,2377409.76317478,2225688.51333052,2277262.60876795,2229737.10215893,2151725.19493506
2386241.01408608,2350870.4581568,2296545.43007432,2329504.27132509,2346815.0341903,2384792.86014886,2234596.05120824,2290770.34166127,2251085.49490783,2175850.07754396
2390158.56170266,2365698.56091406,2306858.13148559,2337067.59276388,2357084.06655766,2401008.02432909,2245910.61734548,2308993.38649342,2257970.52746051,2205028.10291511
2419107.66011589,2368421.31773015,2334905.48471955,2344523.69627554,2366889.02011219,2402141.41670226,2248573.27747033,2318085.83985586,2263126.54290545,2241283.20379613
2420950.88567605,2376023.96813944,2345433.37083246,2348351.82800079,2378164.85933589,2404202.99620915,2257144.80574624,2337820.40472621,2289801.63845367,2246147.45532872
2424271.24385273,2379935.97298607,2345666.02972211,2349610.83927279,2388353.91636426,2403724.76362293,2258530.29572885,2357291.42911837,2289924.24688909,2254368.48983287
2427119.53598559,2382863.74263063,2349346.79339121,2354391.66352177,2410207.98837134,2409014.50239748,2257517.78804299,2380356.6924719,2302486.70031983,2254909.96443526
2430558.23365652,2383393.04112476,2348529.12324712,2354782.88214068,2412364.62432773,2411656.68901293,2264105.75875955,2400848.33244708,2307540.22695975,2258162.80484542
2432326.61825394,2403342.41071779,2368320.30808219,2384042.43927275,2416376.4813869,2413679.17146508,2265602.22923519,2416366.50652575,2336780.09037597,2258911.90579923
2454410.45142456,2402961.93729033,2374630.76942551,2384454.69372313,2427341.47216029,2417138.87425737,2267653.9687479,2430262.6654145,2343466.53670131,2263134.96515206
2454744.88179935,2405053.76073196,2377893.26572944,2385795.9352814,2429297.18700361,2417583.67113135,2267876.43844882,2429310.11400081,2356869.87921211,2265166.63603228
2472076.41023567,2406674.26778075,2382324.12975249,2387265.32553964,2431069.0847841,2417880.88593567,2270610.23857275,2429973.73328599,2357916.13571403,2268569.35499677
2476180.03053239,2407891.86998521,2383904.8724628,2393608.80819484,2434113.02601148,2425741.00691996,2270582.99206783,2430983.35002355,2375530.16846678,2306748.18712992
2479458.35851498,2407475.08389285,2386199.26733608,2392405.30920471,2434594.10350216,2430701.26918825,2270461.1098772,2433966.94665059,2374840.73576207,2321217.71168562
2480798.75836052,2409162.67416242,2395221.86741661,2406725.40541869,2470064.08096295,2439182.67335329,2271712.74096293,2452529.35346291,2375457.99292297,2322442.51712624
2481778.02679384,2414698.74181006,2409389.67894041,2409293.94499638,2472110.33986459,2439491.93941495,2272219.46348143,2456030.91654556,2386459.02293478,2325549.7815673
2489428.43958093,2414963.07367527,2426686.65593505,2409661.57526316,2473220.64722123,2440002.84211629,2277117.38596174,2462556.72416137,2388796.87388737,2365789.54998022
2509183.95297332,2422011.05677677,2461220.56896116,2419181.23615247,2483674.24032241,2440794.24500407,2307496.78271631,2467176.54143857,2391147.28877177,2369944.27251394
2524299.2587327,2423009.57717267,2465321.21423677,2425188.73494971,2485970.13776713,2441044.42924602,2325244.2462159,2475544.02176646,2392386.92234445,2370482.37300932
2524459.25466942,2422965.24410097,2468609.91493835,2439773.7062772,2487596.19537244,2446850.51358474,2324441.87095375,2475060.84492403,2394309.14264667,2372997.24156389
2537789.61310771,2430122.82058811,2478371.98638835,2441274.54123528,2491784.41820428,2460844.6934015,2323167.32066816,2475672.39416098,2401719.25274409,2381990.56023226
2537748.76807241,2430460.64364302,2481048.02854589,2447809.52347148,2495764.28244594,2470327.1120274,2334109.49030169,2477070.0570768,2409822.06031705,2383951.32567029
2537327.38331404,2453531.75657105,2484049.28774203,2448641.90627871,2496554.21275427,2470606.4274669,2336436.29959848,2477024.78542662,2416664.24912437,2388513.47642787
2537327.38331404,2454285.4541335,2554031.39704886,2457576.80850899,2496205.24594393,2471628.04172977,2346309.95742119,2477653.38528833,2417040.09569024,2390461.07938276
2537422.517544,2456256.16422223,2554456.91946402,2458455.6960734,2498174.24498159,2472112.32412061,2350491.27998686,2477994.50580828,2417625.96174284,2390973.92649246
2537422.517544,2456141.6203376,2559795.9089274,2458855.0538722,2497975.28525951,2476063.68119497,2352037.83255684,2478162.08832628,2436521.1952582,2393508.14994812
2537641.02395548,2457539.38454365,2559654.38487758,2458953.66697289,2497976.53798269,2477135.35618579,2377190.62024156,2504403.83965601,2461499.8652274,2393509.74640942
2537808.03342171,2457783.43641209,2559869.53059002,2459585.89081277,2516353.06094636,2479314.40829337,2409456.64596446,2506362.88977218,2488429.81697152,2393897.23507146
2537808.03342171,2458379.47846247,2562601.1638,2461296.46807731,2518579.92929035,2482587.19802301,2410245.52538439,2506978.73749982,2494267.13353807,2457326.96180605
2538091.50793655,2458282.05587228,2563320.87553454,2462778.44154368,2518560.7535644,2484342.53907028,2410650.42335084,2516242.0552779,2494655.2609709,2457739.89731912
2538531.92825268,2458282.05587228,2574250.18618911,2468323.03923403,2519097.75293211,2493407.63047011,2423919.58947095,2516204.89234319,2496737.87388944,2461623.07704535
2537898.53817361,2458282.05587228,2574251.43124027,2468557.00722984,2521829.14818299,2497186.73329486,2426424.1712573,2518607.8528229,2501993.14830638,2461674.00207183
2537960.69505371,2458505.89789513,2574847.00731796,2470541.6725724,2536109.75074656,2498781.52277656,2428157.30038173,2543069.65041032,2504081.75206247,2461528.9546913
2537960.69505371,2460414.49204405,2574876.76016679,2495983.85685336,2535706.55926948,2527818.04083345,2428391.56990601,2543976.84695296,2504760.0590345,2462553.89142564
2537992.70160414,2460414.49204405,2574982.34789256,2502044.48962871,2536324.68863418,2528370.39047867,2429387.43720697,2543976.84695296,2503113.04424804,2466885.56948315
2537992.70160414,2460414.49204405,2575161.00187948,2501853.01585093,2536493.47560569,2527559.86762246,2436113.66994405,2543976.84695296,2508894.03156948,2467233.61171535
2541801.48894147,2461833.24429279,2575101.83499093,2502074.88003178,2538218.30219677,2529406.20638086,2436522.42200001,2543711.18896565,2510445.41858046,2467273.2029836
2542362.63592568,2460703.3106152,2575101.83499093,2502074.88003178,2538565.37084869,2556027.76080047,2438411.51590399,2549042.74568823,2510600.34682092,2467503.40513989
2542380.20079878,2460703.3106152,2575254.09373118,2503871.98916627,2539394.2687521,2556285.03754248,2445003.68160874,2549046.45457287,2510567.35294176,2467603.68964858
2602135.94552397,2460703.3106152,2575159.5997635,2505845.69667229,2543062.99930839,2560204.37835526,2445054.06202212,2549046.45457287,2510567.35294176,2469328.38777734
2602065.63263309,2460703.3106152,2575159.5997635,2505845.69667229,2552954.31672604,2583288.53412871,2445045.66980267,2549793.79438123,2511754.26617428,2469963.8823447
2602418.63055023,2462271.15616535,2576633.10373473,2505842.08425862,2553913.59486234,2582197.52661379,2446106.57895702,2549793.79438123,2514755.56426729,2471905.82713774
2602431.43675291,2464637.15461058,2576585.86636738,2508004.25453928,2553870.54705802,2583633.7863792,2446333.42729489,2563773.59027607,2514834.30213755,2481013.63776436
